height,nonce
1660414,492240
1660415,1851093705
1660416,2863314473
1660417,1610623536
1660418,1073744258
1660419,1107300298
1660420,4096541663
1660421,16729
1660422,2863311542
1660423,269580
1660424,1728059581
1660425,3123619771
1660426,88272
1660427,53907
1660428,858995096
1660429,8218
1660430,612811
1660431,686568
1660432,573474
1660433,1431659358
1660434,1665980669
1660435,47044
1660436,2813
1660437,2826994508
1660438,17912
1660439,984649
1660440,3221231023
1660441,1828865754
1660442,46738
1660443,2576995242
1660444,491127
1660445,1177
1660446,2147500609
1660447,6374763
1660448,471107
1660449,141
1660450,3137340215
1660451,2846
1660452,3102469968
1660453,6757525
1660454,28922
1660455,61434
1660456,4138380515
1660457,291838
1660458,1416637
1660459,125372
1660460,360812
1660461,419753
1660462,159441
1660463,7076
1660464,578769
1660465,1556086785
1660466,3758103660
1660467,3028295423
1660468,381689196
1660469,342
1660470,651612
1660471,2550139643
1660472,1346378525
1660473,4149569744
1660474,15145
1660475,3902789786
1660476,1465229278
1660477,2326447991
1660478,966368189
1660479,2147484160
1660480,463470606
1660481,162742454
1660482,339916
1660483,494898
1660484,5812
1660485,19609
1660486,427819514
1660487,509902
1660488,554650469
1660489,923750201
1660490,2063607781
1660491,429498208
1660492,357930125
1660493,14006
1660494,501704
1660495,1073743228
1660496,141362
1660497,100896
1660498,3817859883
1660499,203928
1660500,2161048
1660501,2534242783
1660502,250901
1660503,31642
1660504,2366365
1660505,1431656531
1660506,25365
1660507,54366
1660508,73770
1660509,956348315
1660510,1610616963
1660511,501733
1660512,2105545955
1660513,2618523599
1660514,4376
1660515,16685
1660516,178642
1660517,3221225855
1660518,286333847
1660519,2516599372
1660520,1288494425
1660521,2147485192
1660522,2198523843
1660523,355
1660524,6811
1660525,295387
1660526,990612
1660527,2068
1660528,8470489
1660529,1431657568
1660530,2157239
1660531,4133791
1660532,302734
1660533,2797601406
1660534,419455
1660535,1241669440
1660536,106242
1660537,1474912
1660538,77118
1660539,1431678799
1660540,738198232
1660541,451904
1660542,33951
1660543,3579171275
1660544,130024438
1660545,78294125
1660546,1392554
1660547,1503243916
1660548,1082137972
1660549,77106
1660550,1168816374
1660551,556165
1660552,872472909
1660553,13575
1660554,3813521
1660555,2863311584
1660556,2936037480
1660557,731335
1660558,310411
1660559,1442841309
1660560,580711
1660561,4010579323
1660562,16593
1660563,2409731308
1660564,15017
1660565,4104081424
1660566,26776
1660567,3454184824
1660568,3858908767
1660569,1047308
1660570,20948
1660571,10536877
1660572,1094414
1660573,858399363
1660574,12783
1660575,81598
1660576,166688
1660577,94297
1660578,30686
1660579,1922394100
1660580,2969629189
1660581,26754
1660582,414010
1660583,3221232420
1660584,1227135374
1660585,721498969
1660586,912809
1660587,351748
1660588,486540224
1660589,29622
1660590,96096
1660591,901691
1660592,11769
1660593,12988
1660594,15945
1660595,401927
1660596,2304
1660597,42223
1660598,1392510538
1660599,1002765
1660600,167483
1660601,346728
1660602,11005
1660603,3489777100
1660604,3356736
1660605,4261383
1660606,157778
1660607,41862
1660608,3774873797
1660609,149638
1660610,5351
1660611,3817797412
1660612,215237
1660613,592821
1660614,268514415
1660615,8489970
1660616,1003901
1660617,72025
1660618,9112
1660619,2147500349
1660620,33608
1660621,3221226694
1660622,715827931
1660623,221484
1660624,3042268812
1660625,536875031
1660626,1073747623
1660627,2192229880
1660628,512292
1660629,4060086516
1660630,1711549
1660631,357924863
1660632,3274
1660633,1118483742
1660634,3544730280
1660635,31160
1660636,214549
1660637,942352033
1660638,142860
1660639,14934582
1660640,1073749514
1660641,49503
1660642,6671
1660643,123570
1660644,1788343
1660645,6358192
1660646,97453
1660647,23261
1660648,1726474874
1660649,956303960
1660650,2197856545
1660651,12817
1660652,2147483693
1660653,674548
1660654,218111892
1660655,3579158441
1660656,3573550320
1660657,3573548483
1660658,236660400
1660659,691222047
1660660,4817
1660661,1308760594
1660662,894786345
1660663,2863315600
1660664,1811968175
1660665,3235908559
1660666,2495272
1660667,12306
1660668,587203013
1660669,3340530380
1660670,2059403577
1660671,45411
1660672,711535
1660673,1718028861
1660674,887092
1660675,940804
1660676,331912
1660677,1393282627
1660678,13990143
1660679,269824144
1660680,26132
1660681,1443732263
1660682,3291148861
1660683,1079993
1660684,1946157873
1660685,1072297
1660686,87402
1660687,2147485918
1660688,1313023703
1660689,67021
1660690,348625077
1660691,201202
1660692,21923
1660693,1513612060
1660694,330931
1660695,3579140702
1660696,3791653476
1660697,420659736
1660698,3238113943
1660699,1610668564
1660700,887517116
1660701,2801803007
1660702,3188141749
1660703,2415958798
1660704,26987
1660705,3456146255
1660706,13142
1660707,62484
1660708,20994124
1660709,279647396
1660710,37627
1660711,10496432
1660712,235140
1660713,500122
1660714,2147484719
1660715,3758347210
1660716,894787322
1660717,4235160
1660718,359518
1660719,537401500
1660720,14011399
1660721,1073742090
1660722,2318895172
1660723,2550173262
1660724,3074475853
1660725,401590
1660726,310104
1660727,603999391
1660728,3842583758
1660729,3433736949
1660730,6722936
1660731,2147483669
1660732,543917
1660733,763
1660734,3003169195
1660735,54003
1660736,2035646200
1660737,2128228
1660738,1073749639
1660739,3993015639
1660740,7075
1660741,805392
1660742,8477956
1660743,3453077
1660744,2147485349
1660745,4094704697
1660746,709372
1660747,71321
1660748,705576679
1660749,1292779679
1660750,2552291365
1660751,715827885
1660752,3539986
1660753,590266
1660754,270670
1660755,30225
1660756,3339367805
1660757,3623889432
1660758,6329
1660759,1071471
1660760,6725273
1660761,44052
1660762,1812052881
1660763,138557
1660764,469883181
1660765,12611732
1660766,469878966
1660767,357935061
1660768,4244644594
1660769,386471
1660770,3148076826
1660771,1195783
1660772,99692
1660773,150837
1660774,36663
1660775,1879049025
1660776,503625945
1660777,3365516129
1660778,1191194818
1660779,1879054500
1660780,111980661
1660781,57919
1660782,1803553354
1660783,17142
1660784,2281715264
1660785,886797
1660786,251672857
1660787,2684715654
1660788,3579141300
1660789,251662848
1660790,128470
1660791,96141
1660792,54734
1660793,204585
1660794,12132780
1660795,57490
1660796,2147488489
1660797,24728
1660798,1832
1660799,171799359
1660800,11221730
1660801,285881
1660802,95932
1660803,644246359
1660804,23475
1660805,14060758
1660806,2576984055
1660807,1744838389
1660808,4807
1660809,2326675661
1660810,1092959
1660811,6337444
1660812,982036759
1660813,13874
1660814,2863329609
1660815,524674
1660816,98979
1660817,3607101582
1660818,766837
1660819,117518512
1660820,50362452
1660821,486575367
1660822,2659188910
1660823,479611
1660824,2863313766
1660825,2147486893
1660826,1431656569
1660827,2147484330
1660828,3660987049
1660829,2147513092
1660830,260679
1660831,3221225811
1660832,1241925434
1660833,1194008
1660834,672479
1660835,7545
1660836,2001332
1660837,341
1660838,1970407
1660839,87242335
1660840,2019
1660841,2863314551
1660842,16231
1660843,429505021
1660844,2868907809
1660845,3183990673
1660846,2885681480
1660847,6326701
1660848,2004321658
1660849,10545410
1660850,3937063009
1660851,5175
1660852,2785047059
1660853,394890
1660854,3861995139
1660855,11233573
1660856,4080219856
1660857,67883
1660858,200111
1660859,248
1660860,13641
1660861,22001
1660862,356516559
1660863,2348811355
1660864,215172
1660865,10534878
1660866,402653358
1660867,24102
1660868,3733485344
1660869,3221240701
1660870,37106
1660871,253345
1660872,3395284340
1660873,2564353
1660874,3177186164
1660875,240635
1660876,3165860993
1660877,4216749
1660878,4238348213
1660879,1438
1660880,237
1660881,1249910281
1660882,169528
1660883,615997
1660884,180729
1660885,30539
1660886,4194331033
1660887,4291
1660888,16040
1660889,110647
1660890,101563074
1660891,3992979046
1660892,2329714990
1660893,1981388162
1660894,67108999
1660895,1073748995
1660896,1644177285
1660897,2122323377
1660898,2147502283
1660899,446657
1660900,607097
1660901,2206204716
1660902,3435992020
1660903,3019977392
1660904,673112
1660905,34443846
1660906,157707000
1660907,2886355237
1660908,3372358270
1660909,1274123167
1660910,2576996914
1660911,45299
1660912,2985432410
1660913,268658453
1660914,25221
1660915,20116
1660916,4278190687
1660917,2642454333
1660918,6713
1660919,700449089
1660920,822084397
1660921,126097172
1660922,165106
1660923,1560282590
1660924,1505763035
1660925,3887
1660926,8746821
1660927,1494474
1660928,25639
1660929,8389160
1660930,4276793469
1660931,86090
1660932,2172343
1660933,10099495
1660934,258231
1660935,55018
1660936,22366
1660937,4261413458
1660938,558110
1660939,419436237
1660940,117187
1660941,3724575141
1660942,14699713
1660943,137721
1660944,1950351437
1660945,3579164457
1660946,2867207715
1660947,3131934991
1660948,2432696958
1660949,79504
1660950,1431658074
1660951,8390954
1660952,278387
1660953,328114
1660954,238874
1660955,645510
1660956,2147528532
1660957,312715
1660958,2657237
1660959,2980753729
1660960,14685036
1660961,30771
1660962,413934
1660963,3003
1660964,362088
1660965,3091949436
1660966,404377
1660967,2906851851
1660968,120432
1660969,43670
1660970,4876
1660971,1258298180
1660972,2505400675
1660973,83755
1660974,2478836016
1660975,2343218413
1660976,3070230753
1660977,79692035
1660978,2769589
1660979,2947306974
1660980,18716193
1660981,838860887
1660982,109208
1660983,3259006257
1660984,269129
1660985,82082
1660986,261883
1660987,1761653761
1660988,2902479590
1660989,822480334
1660990,3155006393
1660991,12788
1660992,26431
1660993,549
1660994,786888
1660995,3355595061
1660996,19245
1660997,2533654302
1660998,536877825
1660999,3809612
1661000,12736
1661001,2784
1661002,17621
1661003,3523216493
1661004,184556009
1661005,15161
1661006,2157
1661007,21913
1661008,6328836
1661009,134219349
1661010,1414880524
1661011,8388682
1661012,3405777566
1661013,676879353
1661014,4520
1661015,206220
1661016,221259
1661017,2863312313
1661018,1252705817
1661019,1040192426
1661020,1795165057
1661021,35489
1661022,4026531982
1661023,893018
1661024,4272741
1661025,1711399725
1661026,21646
1661027,3779489643
1661028,754980794
1661029,289418
1661030,809813
1661031,491996
1661032,312704
1661033,655228
1661034,69789
1661035,3758103622
1661036,386061561
1661037,79742
1661038,7984
1661039,2863311946
1661040,586610
1661041,1736446547
1661042,2614
1661043,26500
1661044,382556449
1661045,429508853
1661046,2938295140
1661047,3006479826
1661048,791587
1661049,37634
1661050,2399143407
1661051,671089108
1661052,849
1661053,142196
1661054,3019944337
1661055,1085838
1661056,4419968
1661057,1659345745
1661058,135396
1661059,63559
1661060,1107827204
1661061,50678
1661062,1073756337
1661063,3523245567
1661064,98799
1661065,604519280
1661066,2154945
1661067,133792
1661068,3221228984
1661069,2438301737
1661070,1829810786
1661071,572667596
1661072,1433196561
1661073,216916442
1661074,14733
1661075,140849
1661076,268438360
1661077,1534
1661078,1795162630
1661079,3087033696
1661080,19584
1661081,38861
1661082,95580
1661083,1627390073
1661084,20837
1661085,131234
1661086,87595
1661087,300941382
1661088,490863
1661089,1124090409
1661090,2214621275
1661091,2165244150
1661092,1260597
1661093,2973444358
1661094,504389957
1661095,286332976
1661096,3436023778
1661097,16546
1661098,1043246318
1661099,2718451020
1661100,16793
1661101,8393379
1661102,1182796629
1661103,1061170
1661104,1431663275
1661105,3586970972
1661106,991257775
1661107,3573557162
1661108,102260
1661109,815373429
1661110,1577194022
1661111,2488061483
1661112,715827891
1661113,3422569
1661114,1398441872
1661115,1115720890
1661116,161325
1661117,3909136397
1661118,1397006
1661119,4144152880
1661120,2863311615
1661121,76165
1661122,940211666
1661123,1769996791
1661124,23174
1661125,1789600746
1661126,2876134971
1661127,135928
1661128,4331
1661129,1329598565
1661130,5677904
1661131,400047
1661132,895647
1661133,87206
1661134,3531613308
1661135,1566417395
1661136,1962940299
1661137,8769
1661138,3791651397
1661139,6941
1661140,35552
1661141,3859
1661142,1409356662
1661143,176962
1661144,2936042523
1661145,2510150
1661146,1141065056
1661147,3623933823
1661148,24125
1661149,3372221356
1661150,310380847
1661151,236772
1661152,93611
1661153,2046822336
1661154,8664344
1661155,1872897549
